Registration,Name
C,Cork
CE,Clare
CN,Cavan
CW,Carlow
D,Dublin
DL,Donegal
G,Galway
KE,Kildare
KK,Kilkenny
KY,Kerry
L,Limerick City
LD,Longford
LH,Louth
LK,County Limerick
LM,Leitrim
LS,Laois
MH,Meath
MN,Monaghan
MO,Mayo
OY,Offaly
SO,Sligo
RN,Roscommon
TN,Tipperary North
TS,Tipperary South
W,Waterford City
WD,County Waterford
WH,Westmeath
WX,Wexford
WW,Wicklow
